2026-01-03 02:54:35,202 | INFO    | system:global | platform:139 | initialize | Bootstrapping this Agentic Platform
2026-01-03 02:55:23,486 | INFO    | system:global | tool_registry:32 | load | Registered tool: fastmcp_client
2026-01-03 02:55:23,486 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 02:55:23,486 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 02:55:47,156 | INFO    | system:global | platform:139 | initialize | Bootstrapping this Agentic Platform
2026-01-03 02:55:47,157 | INFO    | system:global | tool_registry:26 | load | Loading platform tools
2026-01-03 02:55:47,157 | INFO    | system:global | tool_registry:32 | load | Registered tool: web_search
2026-01-03 02:55:47,157 | INFO    | system:global | tool_registry:32 | load | Registered tool: calculator
2026-01-03 02:55:47,158 | INFO    | system:global | tool_registry:32 | load | Registered tool: python_exec
2026-01-03 02:55:47,158 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_write
2026-01-03 02:55:47,158 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_read
2026-01-03 02:55:47,158 | INFO    | system:global | tool_registry:32 | load | Registered tool: vector_search
2026-01-03 02:55:47,219 | INFO    | system:global | tool_registry:32 | load | Registered tool: http_request
2026-01-03 02:55:48,042 | INFO    | system:global | tool_registry:32 | load | Registered tool: fastmcp_client
2026-01-03 02:55:48,042 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 02:55:48,042 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 02:55:48,043 | INFO    | system:global | policy:14 | __init__ | Initializing Tool Policy in place.
2026-01-03 03:06:57,871 | INFO    | system:global | platform:139 | initialize | Bootstrapping this Agentic Platform
2026-01-03 03:06:57,871 | INFO    | system:global | tool_registry:26 | load | Loading platform tools
2026-01-03 03:06:57,872 | INFO    | system:global | tool_registry:32 | load | Registered tool: web_search
2026-01-03 03:06:57,872 | INFO    | system:global | tool_registry:32 | load | Registered tool: calculator
2026-01-03 03:06:57,872 | INFO    | system:global | tool_registry:32 | load | Registered tool: python_exec
2026-01-03 03:06:57,873 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_write
2026-01-03 03:06:57,873 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_read
2026-01-03 03:06:57,873 | INFO    | system:global | tool_registry:32 | load | Registered tool: vector_search
2026-01-03 03:06:57,935 | INFO    | system:global | tool_registry:32 | load | Registered tool: http_request
2026-01-03 03:06:58,756 | INFO    | system:global | tool_registry:32 | load | Registered tool: fastmcp_client
2026-01-03 03:06:58,756 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:06:58,757 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:06:58,757 | INFO    | system:global | tool_policy:14 | __init__ | Initializing Tool Policy
2026-01-03 03:06:58,757 | INFO    | system:global | platform:163 | initialize | ToolClient initialized
2026-01-03 03:07:47,897 | INFO    | system:global | platform:139 | initialize | Bootstrapping this Agentic Platform
2026-01-03 03:07:47,897 | INFO    | system:global | tool_registry:26 | load | Loading platform tools
2026-01-03 03:07:47,897 | INFO    | system:global | tool_registry:32 | load | Registered tool: web_search
2026-01-03 03:07:47,898 | INFO    | system:global | tool_registry:32 | load | Registered tool: calculator
2026-01-03 03:07:47,898 | INFO    | system:global | tool_registry:32 | load | Registered tool: python_exec
2026-01-03 03:07:47,898 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_write
2026-01-03 03:07:47,898 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_read
2026-01-03 03:07:47,898 | INFO    | system:global | tool_registry:32 | load | Registered tool: vector_search
2026-01-03 03:07:47,962 | INFO    | system:global | tool_registry:32 | load | Registered tool: http_request
2026-01-03 03:07:48,783 | INFO    | system:global | tool_registry:32 | load | Registered tool: fastmcp_client
2026-01-03 03:07:48,783 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:07:48,784 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:07:48,784 | INFO    | system:global | tool_policy:14 | __init__ | Initializing Tool Policy
2026-01-03 03:07:48,784 | INFO    | system:global | platform:163 | initialize | ToolClient initialized
2026-01-03 03:07:48,784 | INFO    | system:global | embedding_factory:70 | load_config | EmbeddingFactory config loaded
2026-01-03 03:08:31,014 | INFO    | system:global | platform:139 | initialize | Bootstrapping this Agentic Platform
2026-01-03 03:08:31,014 | INFO    | system:global | tool_registry:26 | load | Loading platform tools
2026-01-03 03:08:31,015 | INFO    | system:global | tool_registry:32 | load | Registered tool: web_search
2026-01-03 03:08:31,015 | INFO    | system:global | tool_registry:32 | load | Registered tool: calculator
2026-01-03 03:08:31,015 | INFO    | system:global | tool_registry:32 | load | Registered tool: python_exec
2026-01-03 03:08:31,015 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_write
2026-01-03 03:08:31,016 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_read
2026-01-03 03:08:31,016 | INFO    | system:global | tool_registry:32 | load | Registered tool: vector_search
2026-01-03 03:08:31,078 | INFO    | system:global | tool_registry:32 | load | Registered tool: http_request
2026-01-03 03:08:31,911 | INFO    | system:global | tool_registry:32 | load | Registered tool: fastmcp_client
2026-01-03 03:08:31,911 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:08:31,912 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:08:31,912 | INFO    | system:global | tool_policy:14 | __init__ | Initializing Tool Policy
2026-01-03 03:08:31,912 | INFO    | system:global | platform:163 | initialize | ToolClient initialized
2026-01-03 03:08:31,912 | INFO    | system:global | embedding_factory:70 | load_config | EmbeddingFactory config loaded
2026-01-03 03:09:59,025 | INFO    | system:global | platform:139 | initialize | Bootstrapping this Agentic Platform
2026-01-03 03:09:59,025 | INFO    | system:global | tool_registry:26 | load | Loading platform tools
2026-01-03 03:09:59,025 | INFO    | system:global | tool_registry:32 | load | Registered tool: web_search
2026-01-03 03:09:59,026 | INFO    | system:global | tool_registry:32 | load | Registered tool: calculator
2026-01-03 03:09:59,026 | INFO    | system:global | tool_registry:32 | load | Registered tool: python_exec
2026-01-03 03:09:59,026 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_write
2026-01-03 03:09:59,026 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_read
2026-01-03 03:09:59,026 | INFO    | system:global | tool_registry:32 | load | Registered tool: vector_search
2026-01-03 03:09:59,090 | INFO    | system:global | tool_registry:32 | load | Registered tool: http_request
2026-01-03 03:09:59,903 | INFO    | system:global | tool_registry:32 | load | Registered tool: fastmcp_client
2026-01-03 03:09:59,903 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:09:59,904 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:09:59,904 | INFO    | system:global | tool_policy:14 | __init__ | Initializing Tool Policy
2026-01-03 03:09:59,904 | INFO    | system:global | platform:163 | initialize | ToolClient initialized
2026-01-03 03:09:59,904 | INFO    | system:global | embedding_factory:70 | load_config | EmbeddingFactory config loaded
2026-01-03 03:12:09,462 | INFO    | system:global | platform:139 | initialize | Bootstrapping this Agentic Platform
2026-01-03 03:12:09,462 | INFO    | system:global | tool_registry:26 | load | Loading platform tools
2026-01-03 03:12:09,462 | INFO    | system:global | tool_registry:32 | load | Registered tool: web_search
2026-01-03 03:12:09,463 | INFO    | system:global | tool_registry:32 | load | Registered tool: calculator
2026-01-03 03:12:09,463 | INFO    | system:global | tool_registry:32 | load | Registered tool: python_exec
2026-01-03 03:12:09,463 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_write
2026-01-03 03:12:09,463 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_read
2026-01-03 03:12:09,463 | INFO    | system:global | tool_registry:32 | load | Registered tool: vector_search
2026-01-03 03:12:09,525 | INFO    | system:global | tool_registry:32 | load | Registered tool: http_request
2026-01-03 03:12:10,343 | INFO    | system:global | tool_registry:32 | load | Registered tool: fastmcp_client
2026-01-03 03:12:10,343 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:12:10,343 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:12:10,343 | INFO    | system:global | tool_policy:14 | __init__ | Initializing Tool Policy
2026-01-03 03:12:10,343 | INFO    | system:global | platform:163 | initialize | ToolClient initialized
2026-01-03 03:12:10,344 | INFO    | system:global | embedding_factory:70 | load_config | EmbeddingFactory config loaded
2026-01-03 03:12:10,344 | INFO    | system:global | embedding_factory:71 | load_config | Schema: {'embedding': {'default': 'ollama', 'ollama': {'module': 'llm.embeddings.ollama_embeddings', 'class': 'OllamaEmbeddingClient', 'embed': 'nomic-embed-text:latest', 'endpoint': 'http://localhost:11434/api/embeddings'}, 'openai': {'module': 'llm.embeddings.openai_embeddings', 'class': 'OpenAIEmbeddingClient', 'embed': 'openai:text-embedding-3-small', 'endpoint': '', 'api_key': '${OPENAI_API_KEY}'}, 'cohere': {'module': 'llm.embeddings.cohere_embeddings', 'class': 'CohereEmbeddingClient', 'embed': 'embed-v4.0', 'endpoint': '', 'api_key': '${COHERE_API_KEY}'}}}
2026-01-03 03:13:47,991 | INFO    | system:global | platform:139 | initialize | Bootstrapping this Agentic Platform
2026-01-03 03:13:47,991 | INFO    | system:global | tool_registry:26 | load | Loading platform tools
2026-01-03 03:13:47,992 | INFO    | system:global | tool_registry:32 | load | Registered tool: web_search
2026-01-03 03:13:47,992 | INFO    | system:global | tool_registry:32 | load | Registered tool: calculator
2026-01-03 03:13:47,992 | INFO    | system:global | tool_registry:32 | load | Registered tool: python_exec
2026-01-03 03:13:47,992 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_write
2026-01-03 03:13:47,992 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_read
2026-01-03 03:13:47,993 | INFO    | system:global | tool_registry:32 | load | Registered tool: vector_search
2026-01-03 03:13:48,054 | INFO    | system:global | tool_registry:32 | load | Registered tool: http_request
2026-01-03 03:13:48,871 | INFO    | system:global | tool_registry:32 | load | Registered tool: fastmcp_client
2026-01-03 03:13:48,871 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:13:48,871 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:13:48,872 | INFO    | system:global | tool_policy:14 | __init__ | Initializing Tool Policy
2026-01-03 03:13:48,872 | INFO    | system:global | platform:163 | initialize | ToolClient initialized
2026-01-03 03:13:48,872 | INFO    | system:global | embedding_factory:70 | load_config | EmbeddingFactory config loaded
2026-01-03 03:13:48,872 | INFO    | system:global | embedding_factory:71 | load_config | Schema: {'embedding': {'default': 'ollama', 'ollama': {'module': 'llm.embeddings.ollama_embeddings', 'class': 'OllamaEmbeddingClient', 'embed': 'nomic-embed-text:latest', 'endpoint': 'http://localhost:11434/api/embeddings'}, 'openai': {'module': 'llm.embeddings.openai_embeddings', 'class': 'OpenAIEmbeddingClient', 'embed': 'openai:text-embedding-3-small', 'endpoint': '', 'api_key': '${OPENAI_API_KEY}'}, 'cohere': {'module': 'llm.embeddings.cohere_embeddings', 'class': 'CohereEmbeddingClient', 'embed': 'embed-v4.0', 'endpoint': '', 'api_key': '${COHERE_API_KEY}'}}}
2026-01-03 03:13:48,873 | INFO    | system:global | store_factory:70 | load_config | StoreFactory config loaded
2026-01-03 03:15:41,857 | INFO    | system:global | platform:139 | initialize | Bootstrapping this Agentic Platform
2026-01-03 03:15:41,857 | INFO    | system:global | tool_registry:26 | load | Loading platform tools
2026-01-03 03:15:41,857 | INFO    | system:global | tool_registry:32 | load | Registered tool: web_search
2026-01-03 03:15:41,857 | INFO    | system:global | tool_registry:32 | load | Registered tool: calculator
2026-01-03 03:15:41,857 | INFO    | system:global | tool_registry:32 | load | Registered tool: python_exec
2026-01-03 03:15:41,858 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_write
2026-01-03 03:15:41,858 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_read
2026-01-03 03:15:41,858 | INFO    | system:global | tool_registry:32 | load | Registered tool: vector_search
2026-01-03 03:15:41,921 | INFO    | system:global | tool_registry:32 | load | Registered tool: http_request
2026-01-03 03:15:42,743 | INFO    | system:global | tool_registry:32 | load | Registered tool: fastmcp_client
2026-01-03 03:15:42,743 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:15:42,744 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:15:42,744 | INFO    | system:global | tool_policy:14 | __init__ | Initializing Tool Policy
2026-01-03 03:15:42,744 | INFO    | system:global | platform:163 | initialize | ToolClient initialized
2026-01-03 03:15:42,744 | INFO    | system:global | model_manager:76 | __init__ | Loading Embedding Factory
2026-01-03 03:15:42,744 | INFO    | system:global | embedding_factory:70 | load_config | EmbeddingFactory config loaded
2026-01-03 03:15:42,744 | INFO    | system:global | embedding_factory:71 | load_config | Schema: {'embedding': {'default': 'ollama', 'ollama': {'module': 'llm.embeddings.ollama_embeddings', 'class': 'OllamaEmbeddingClient', 'embed': 'nomic-embed-text:latest', 'endpoint': 'http://localhost:11434/api/embeddings'}, 'openai': {'module': 'llm.embeddings.openai_embeddings', 'class': 'OpenAIEmbeddingClient', 'embed': 'openai:text-embedding-3-small', 'endpoint': '', 'api_key': '${OPENAI_API_KEY}'}, 'cohere': {'module': 'llm.embeddings.cohere_embeddings', 'class': 'CohereEmbeddingClient', 'embed': 'embed-v4.0', 'endpoint': '', 'api_key': '${COHERE_API_KEY}'}}}
2026-01-03 03:15:42,745 | INFO    | system:global | model_manager:83 | __init__ | Loading Store Factory
2026-01-03 03:15:42,745 | INFO    | system:global | store_factory:70 | load_config | StoreFactory config loaded
2026-01-03 03:16:57,487 | INFO    | system:global | platform:139 | initialize | Bootstrapping this Agentic Platform
2026-01-03 03:16:57,487 | INFO    | system:global | tool_registry:26 | load | Loading platform tools
2026-01-03 03:16:57,487 | INFO    | system:global | tool_registry:32 | load | Registered tool: web_search
2026-01-03 03:16:57,487 | INFO    | system:global | tool_registry:32 | load | Registered tool: calculator
2026-01-03 03:16:57,488 | INFO    | system:global | tool_registry:32 | load | Registered tool: python_exec
2026-01-03 03:16:57,488 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_write
2026-01-03 03:16:57,488 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_read
2026-01-03 03:16:57,488 | INFO    | system:global | tool_registry:32 | load | Registered tool: vector_search
2026-01-03 03:16:57,552 | INFO    | system:global | tool_registry:32 | load | Registered tool: http_request
2026-01-03 03:17:00,002 | INFO    | system:global | tool_registry:32 | load | Registered tool: fastmcp_client
2026-01-03 03:17:00,002 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:17:00,037 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:17:00,057 | INFO    | system:global | tool_policy:14 | __init__ | Initializing Tool Policy
2026-01-03 03:17:00,057 | INFO    | system:global | platform:163 | initialize | ToolClient initialized
2026-01-03 03:17:00,057 | INFO    | system:global | model_manager:76 | __init__ | Loading Embedding Factory
2026-01-03 03:17:00,078 | INFO    | system:global | embedding_factory:70 | load_config | EmbeddingFactory config loaded
2026-01-03 03:17:00,084 | INFO    | system:global | model_manager:83 | __init__ | Loading Store Factory
2026-01-03 03:17:00,125 | INFO    | system:global | store_factory:70 | load_config | StoreFactory config loaded
2026-01-03 03:45:37,506 | INFO    | system:global | platform:139 | initialize | Bootstrapping this Agentic Platform
2026-01-03 03:45:37,506 | INFO    | system:global | tool_registry:26 | load | Loading platform tools
2026-01-03 03:45:37,524 | INFO    | system:global | tool_registry:32 | load | Registered tool: web_search
2026-01-03 03:45:37,524 | INFO    | system:global | tool_registry:32 | load | Registered tool: calculator
2026-01-03 03:45:37,531 | INFO    | system:global | tool_registry:32 | load | Registered tool: python_exec
2026-01-03 03:45:37,548 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_write
2026-01-03 03:45:37,548 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_read
2026-01-03 03:45:37,548 | INFO    | system:global | tool_registry:32 | load | Registered tool: vector_search
2026-01-03 03:45:37,754 | INFO    | system:global | tool_registry:32 | load | Registered tool: http_request
2026-01-03 03:45:40,286 | INFO    | system:global | tool_registry:32 | load | Registered tool: fastmcp_client
2026-01-03 03:45:40,286 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:45:40,304 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 03:45:40,325 | INFO    | system:global | tool_policy:14 | __init__ | Initializing Tool Policy
2026-01-03 03:45:40,325 | INFO    | system:global | platform:163 | initialize | ToolClient initialized
2026-01-03 03:45:40,325 | INFO    | system:global | model_manager:77 | __init__ | Loading Embedding Factory
2026-01-03 03:45:40,343 | INFO    | system:global | embedding_factory:70 | load_config | EmbeddingFactory config loaded
2026-01-03 03:45:40,352 | INFO    | system:global | model_manager:84 | __init__ | Loading Store Factory
2026-01-03 03:45:40,362 | INFO    | system:global | store_factory:70 | load_config | StoreFactory config loaded
2026-01-03 09:20:39,550 | INFO    | system:global | platform:139 | initialize | Bootstrapping this Agentic Platform
2026-01-03 09:20:39,550 | INFO    | system:global | tool_registry:26 | load | Loading platform tools
2026-01-03 09:20:39,567 | INFO    | system:global | tool_registry:32 | load | Registered tool: web_search
2026-01-03 09:20:39,568 | INFO    | system:global | tool_registry:32 | load | Registered tool: calculator
2026-01-03 09:20:39,575 | INFO    | system:global | tool_registry:32 | load | Registered tool: python_exec
2026-01-03 09:20:39,608 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_write
2026-01-03 09:20:39,608 | INFO    | system:global | tool_registry:32 | load | Registered tool: memory_read
2026-01-03 09:20:39,609 | INFO    | system:global | tool_registry:32 | load | Registered tool: vector_search
2026-01-03 09:20:39,848 | INFO    | system:global | tool_registry:32 | load | Registered tool: http_request
2026-01-03 09:20:44,106 | INFO    | system:global | tool_registry:32 | load | Registered tool: fastmcp_client
2026-01-03 09:20:44,106 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 09:20:44,140 | INFO    | system:global | tool_registry:32 | load | Registered tool: knowledge_service
2026-01-03 09:20:44,152 | INFO    | system:global | tool_policy:14 | __init__ | Initializing Tool Policy
2026-01-03 09:20:44,152 | INFO    | system:global | platform:163 | initialize | ToolClient initialized
2026-01-03 09:20:44,153 | INFO    | system:global | model_manager:77 | __init__ | Loading Embedding Factory
2026-01-03 09:20:44,162 | INFO    | system:global | embedding_factory:70 | load_config | EmbeddingFactory config loaded
2026-01-03 09:20:44,172 | INFO    | system:global | model_manager:84 | __init__ | Loading Store Factory
2026-01-03 09:20:44,206 | INFO    | system:global | store_factory:70 | load_config | StoreFactory config loaded
